"neighbourhood","neighbourhood_group","room_type","price","minimum_nights","number_of_reviews"
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",120,30,10
"Williamsburg","Brooklyn","Private room",68,30,0
"Harlem","Manhattan","Private room",64,5,2
"Greenpoint","Brooklyn","Entire home/apt",103,30,6
"Astoria","Queens","Private room",51,5,0
"Belle Harbor","Queens","Entire home/apt",171,2,1
"Tribeca","Manhattan","Entire home/apt",192,30,22
"Midtown","Manhattan","Entire home/apt",120,30,6
"Ridgewood","Queens","Entire home/apt",140,3,3
"Fort Greene","Brooklyn","Entire home/apt",220,10,50
"Harlem","Manhattan","Entire home/apt",80,2,10
"Financial District","Manhattan","Entire home/apt",145,30,0
"Upper West Side","Manhattan","Entire home/apt",85,99,0
"Williamsburg","Brooklyn","Entire home/apt",90,30,15
"Morningside Heights","Manhattan","Entire home/apt",75,30,21
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",150,1,1
"Battery Park City","Manhattan","Entire home/apt",500,30,70
"Upper West Side","Manhattan","Entire home/apt",110,30,20
"Wakefield","Bronx","Entire home/apt",85,2,0
"Upper East Side","Manhattan","Entire home/apt",118,30,43
"Bushwick","Brooklyn","Private room",35,30,1
"Kensington","Brooklyn","Entire home/apt",118,1,12
"Hell's Kitchen","Manhattan","Private room",133,3,0
"Fort Greene","Brooklyn","Private room",58,30,0
"Morrisania","Bronx","Entire home/apt",114,1,37
"Crown Heights","Brooklyn","Private room",40,30,0
"East Village","Manhattan","Entire home/apt",55,30,0
"East New York","Brooklyn","Entire home/apt",90,30,0
"Williamsburg","Brooklyn","Private room",90,31,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",160,30,3
"Greenwich Village","Manhattan","Private room",120,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",65,14,22
"Bushwick","Brooklyn","Private room",70,30,2
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",175,30,26
"West Village","Manhattan","Entire home/apt",149,30,6
"Flushing","Queens","Private room",90,30,1
"Harlem","Manhattan","Private room",51,3,3
"Theater District","Manhattan","Entire home/apt",130,30,2
"Morningside Heights","Manhattan","Private room",75,30,5
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",60,30,0
"Upper West Side","Manhattan","Entire home/apt",200,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",35,30,7
"Sunnyside","Queens","Entire home/apt",70,30,2
"Roosevelt Island","Manhattan","Private room",95,30,80
"Elmhurst","Queens","Private room",38,30,0
"Upper East Side","Manhattan","Entire home/apt",200,30,0
"Queens Village","Queens","Private room",75,1,99
"Upper East Side","Manhattan","Entire home/apt",120,30,4
"Harlem","Manhattan","Entire home/apt",627,4,181
"Harlem","Manhattan","Private room",100,30,54
"Kips Bay","Manhattan","Entire home/apt",199,30,3
"Hell's Kitchen","Manhattan","Entire home/apt",314,30,1
"Murray Hill","Manhattan","Private room",175,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",55,30,8
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",170,5,2
"Astoria","Queens","Entire home/apt",500,30,0
"Midtown","Manhattan","Private room",114,1,0
"Williamsburg","Brooklyn","Entire home/apt",165,1,142
"Financial District","Manhattan","Private room",213,1,37
"East Village","Manhattan","Entire home/apt",55,30,19
"Washington Heights","Manhattan","Private room",70,7,0
"Midtown","Manhattan","Entire home/apt",150,30,15
"Flatbush","Brooklyn","Private room",100,32,2
"Woodhaven","Queens","Shared room",39,30,63
"Upper East Side","Manhattan","Entire home/apt",99,30,4
"Flatbush","Brooklyn","Private room",53,30,2
"East Flatbush","Brooklyn","Private room",80,6,31
"Williamsburg","Brooklyn","Private room",60,3,19
"Midtown","Manhattan","Entire home/apt",165,30,4
"Flatbush","Brooklyn","Private room",124,1,0
"Morningside Heights","Manhattan","Entire home/apt",112,30,8
"Canarsie","Brooklyn","Private room",1000,1,0
"Upper East Side","Manhattan","Entire home/apt",125,30,2
"Crown Heights","Brooklyn","Private room",51,30,1
"Williamsburg","Brooklyn","Private room",75,30,2
"Glendale","Queens","Entire home/apt",110,3,6
"Kips Bay","Manhattan","Entire home/apt",140,30,0
"Williamsburg","Brooklyn","Entire home/apt",50,30,4
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",217,30,2
"Chelsea","Manhattan","Entire home/apt",123,30,23
"Kips Bay","Manhattan","Entire home/apt",67,1,39
"Harlem","Manhattan","Private room",40,30,1
"Williamsburg","Brooklyn","Private room",95,30,0
"Upper East Side","Manhattan","Private room",52,30,0
"Nolita","Manhattan","Entire home/apt",220,30,2
"East Harlem","Manhattan","Private room",60,30,0
"Bushwick","Brooklyn","Private room",54,30,5
"Hollis","Queens","Private room",52,30,0
"Washington Heights","Manhattan","Private room",71,1,0
"Glendale","Queens","Private room",68,30,0
"East Village","Manhattan","Entire home/apt",205,30,0
"Crown Heights","Brooklyn","Private room",125,1,1
"East Elmhurst","Queens","Entire home/apt",100,2,0
"Washington Heights","Manhattan","Entire home/apt",100,30,2
"Harlem","Manhattan","Private room",59,30,0
"Chelsea","Manhattan","Private room",53,1,272
"Astoria","Queens","Entire home/apt",156,5,2
"Wakefield","Bronx","Private room",88,3,31
"Murray Hill","Manhattan","Entire home/apt",111,30,0
"Sunset Park","Brooklyn","Entire home/apt",129,2,86
"Bensonhurst","Brooklyn","Entire home/apt",100,1,507
"Williamsburg","Brooklyn","Entire home/apt",299,5,11
"Fort Greene","Brooklyn","Entire home/apt",75,30,0
"Lower East Side","Manhattan","Entire home/apt",300,6,1
"Crown Heights","Brooklyn","Private room",29,90,1
"Morningside Heights","Manhattan","Private room",82,30,0
"Flushing","Queens","Private room",48,30,54
"Hell's Kitchen","Manhattan","Entire home/apt",395,30,1
"East Village","Manhattan","Private room",120,30,14
"Kensington","Brooklyn","Entire home/apt",148,2,1
"Harlem","Manhattan","Entire home/apt",48,60,5
"Hell's Kitchen","Manhattan","Entire home/apt",258,3,0
"Hollis","Queens","Private room",51,30,64
"Lower East Side","Manhattan","Entire home/apt",150,30,13
"Bedford-Stuyvesant","Brooklyn","Private room",130,30,0
"Sunnyside","Queens","Private room",66,2,92
"Harlem","Manhattan","Entire home/apt",60,40,0
"Chelsea","Manhattan","Entire home/apt",201,30,12
"Hell's Kitchen","Manhattan","Private room",60,30,10
"Williamsburg","Brooklyn","Entire home/apt",400,10,0
"Harlem","Manhattan","Private room",55,28,13
"East Village","Manhattan","Entire home/apt",135,3,17
"Sheepshead Bay","Brooklyn","Entire home/apt",2000,30,0
"Prospect-Lefferts Gardens","Brooklyn","Private room",80,1,1
"Canarsie","Brooklyn","Entire home/apt",375,1,4
"Long Island City","Queens","Entire home/apt",135,2,3
"East Harlem","Manhattan","Private room",80,2,8
"Financial District","Manhattan","Private room",212,2,54
"Bedford-Stuyvesant","Brooklyn","Private room",65,3,2
"Crown Heights","Brooklyn","Private room",120,30,0
"Astoria","Queens","Private room",70,30,11
"Hell's Kitchen","Manhattan","Entire home/apt",492,30,0
"Washington Heights","Manhattan","Entire home/apt",139,1,0
"East Flatbush","Brooklyn","Entire home/apt",120,4,40
"Morningside Heights","Manhattan","Entire home/apt",300,30,7
"Harlem","Manhattan","Entire home/apt",900,6,16
"Battery Park City","Manhattan","Entire home/apt",75,30,1
"Morningside Heights","Manhattan","Entire home/apt",130,30,0
"Upper West Side","Manhattan","Private room",110,5,48
"East Harlem","Manhattan","Private room",65,30,7
"Briarwood","Queens","Private room",120,30,79
"Williamsburg","Brooklyn","Entire home/apt",190,30,65
"Hell's Kitchen","Manhattan","Entire home/apt",95,1,16
"Bedford-Stuyvesant","Brooklyn","Private room",46,35,1
"Tribeca","Manhattan","Entire home/apt",110,30,1
"Williamsburg","Brooklyn","Entire home/apt",250,30,1
"Bushwick","Brooklyn","Private room",50,30,36
"Ridgewood","Queens","Private room",50,30,13
"East Flatbush","Brooklyn","Entire home/apt",200,1,1
"Midtown","Manhattan","Private room",120,30,8
"Bedford-Stuyvesant","Brooklyn","Private room",75,30,59
"South Ozone Park","Queens","Entire home/apt",88,180,0
"Bushwick","Brooklyn","Shared room",28,1,2
"Inwood","Manhattan","Private room",72,1,69
"Hell's Kitchen","Manhattan","Private room",119,30,2
"Bushwick","Brooklyn","Private room",52,30,0
"Midtown","Manhattan","Entire home/apt",142,30,4
"Midtown","Manhattan","Private room",87,1,4
"Williamsburg","Brooklyn","Private room",80,30,2
"Prospect Heights","Brooklyn","Entire home/apt",220,30,2
"Gramercy","Manhattan","Entire home/apt",187,30,0
"Williamsburg","Brooklyn","Private room",100,1,8
"SoHo","Manhattan","Private room",79,30,31
"Chinatown","Manhattan","Private room",62,30,0
"Greenwich Village","Manhattan","Entire home/apt",200,30,1
"Upper East Side","Manhattan","Entire home/apt",251,2,16
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",306,7,0
"Kips Bay","Manhattan","Entire home/apt",290,30,7
"West Village","Manhattan","Entire home/apt",101,30,3
"Clinton Hill","Brooklyn","Private room",36,30,33
"Harlem","Manhattan","Private room",50,30,1
"Midtown","Manhattan","Entire home/apt",150,30,0
"Long Island City","Queens","Entire home/apt",750,1,5
"Hell's Kitchen","Manhattan","Private room",230,30,0
"West Village","Manhattan","Entire home/apt",325,30,8
"East Flatbush","Brooklyn","Private room",32,30,10
"Crown Heights","Brooklyn","Private room",45,30,0
"Bushwick","Brooklyn","Entire home/apt",150,3,102
"Claremont Village","Bronx","Private room",50,30,0
"Jackson Heights","Queens","Private room",43,30,2
"Jamaica Estates","Queens","Private room",65,1,3
"East Elmhurst","Queens","Private room",85,1,16
"Wakefield","Bronx","Private room",53,2,61
"Theater District","Manhattan","Private room",236,1,1
"East Harlem","Manhattan","Entire home/apt",120,3,82
"Lower East Side","Manhattan","Entire home/apt",101,30,2
"East Harlem","Manhattan","Entire home/apt",138,30,0
"Williamsburg","Brooklyn","Private room",58,30,7
"Greenpoint","Brooklyn","Entire home/apt",168,30,1
"Hell's Kitchen","Manhattan","Entire home/apt",199,2,23
"Woodside","Queens","Private room",32,20,3
"Lower East Side","Manhattan","Entire home/apt",151,1,4
"Williamsburg","Brooklyn","Entire home/apt",170,2,0
"Midtown","Manhattan","Entire home/apt",110,30,66
"Upper West Side","Manhattan","Entire home/apt",214,5,10
"Ridgewood","Queens","Entire home/apt",151,28,2
"Williamsburg","Brooklyn","Entire home/apt",1400,5,19
"Morris Heights","Bronx","Private room",80,30,1
"Park Slope","Brooklyn","Private room",50,30,1
"Bushwick","Brooklyn","Private room",60,30,3
"Astoria","Queens","Private room",70,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",130,10,1
"Canarsie","Brooklyn","Private room",59,31,12
"Gramercy","Manhattan","Private room",55,30,4
"Sunnyside","Queens","Private room",45,30,0
"Prospect-Lefferts Gardens","Brooklyn","Private room",65,1,7
"Hell's Kitchen","Manhattan","Entire home/apt",244,30,14
"Flatlands","Brooklyn","Private room",60,3,46
"Chelsea","Manhattan","Entire home/apt",83,180,14
"Downtown Brooklyn","Brooklyn","Private room",60,30,3
"Upper West Side","Manhattan","Private room",65,6,4
"Bedford-Stuyvesant","Brooklyn","Private room",76,30,0
"Bushwick","Brooklyn","Private room",76,3,23
"Ditmars Steinway","Queens","Private room",45,30,33
"Upper West Side","Manhattan","Entire home/apt",333,30,0
"Longwood","Bronx","Entire home/apt",82,30,0
"Harlem","Manhattan","Private room",89,2,1
"Bedford-Stuyvesant","Brooklyn","Private room",65,30,0
"Flatiron District","Manhattan","Entire home/apt",150,30,1
"Gramercy","Manhattan","Private room",65,30,5
"Harlem","Manhattan","Entire home/apt",350,60,9
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",400,30,9
"East Flatbush","Brooklyn","Private room",56,6,1
"Upper East Side","Manhattan","Entire home/apt",150,30,10
"Williamsburg","Brooklyn","Private room",42,30,0
"South Slope","Brooklyn","Entire home/apt",165,2,91
"East New York","Brooklyn","Private room",79,1,1
"Lower East Side","Manhattan","Entire home/apt",100,3,17
"East Village","Manhattan","Private room",68,30,0
"Washington Heights","Manhattan","Private room",50,2,32
"East Flatbush","Brooklyn","Entire home/apt",98,2,145
"Crown Heights","Brooklyn","Private room",85,1,15
"Clinton Hill","Brooklyn","Entire home/apt",108,30,6
"Midtown","Manhattan","Entire home/apt",353,30,4
"Upper West Side","Manhattan","Entire home/apt",90,90,0
"Midtown","Manhattan","Private room",100,30,0
"Clinton Hill","Brooklyn","Entire home/apt",109,30,1
"Williamsburg","Brooklyn","Entire home/apt",185,4,16
"Greenpoint","Brooklyn","Entire home/apt",195,30,34
"Brooklyn Heights","Brooklyn","Entire home/apt",75,30,3
"Hell's Kitchen","Manhattan","Entire home/apt",300,30,0
"Upper East Side","Manhattan","Entire home/apt",130,30,0
"Sunset Park","Brooklyn","Entire home/apt",100,30,1
"Harlem","Manhattan","Private room",60,30,22
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",60,30,29
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",165,3,38
"Crown Heights","Brooklyn","Private room",39,45,19
"East Harlem","Manhattan","Private room",67,30,1
"Park Slope","Brooklyn","Private room",44,30,116
"Midtown","Manhattan","Entire home/apt",99,10,15
"Bushwick","Brooklyn","Private room",70,4,0
"East Harlem","Manhattan","Private room",88,30,142
"Williamsburg","Brooklyn","Entire home/apt",146,2,40
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",120,30,0
"Astoria","Queens","Entire home/apt",210,30,0
"Upper West Side","Manhattan","Entire home/apt",200,7,0
"Williamsburg","Brooklyn","Private room",35,30,45
"Upper West Side","Manhattan","Entire home/apt",82,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",62,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",43,30,1
"Upper West Side","Manhattan","Entire home/apt",151,30,0
"Chelsea","Manhattan","Entire home/apt",158,30,0
"Kips Bay","Manhattan","Entire home/apt",150,30,5
"Bedford-Stuyvesant","Brooklyn","Private room",133,1,1
"Crown Heights","Brooklyn","Private room",83,4,72
"Williamsburg","Brooklyn","Private room",48,30,1
"Hell's Kitchen","Manhattan","Entire home/apt",185,30,1
"Long Island City","Queens","Private room",85,30,44
"Prospect Heights","Brooklyn","Entire home/apt",150,2,9
"Chinatown","Manhattan","Private room",105,30,0
"Midtown","Manhattan","Entire home/apt",175,2,13
"East Village","Manhattan","Private room",175,3,188
"Upper West Side","Manhattan","Entire home/apt",125,30,0
"Murray Hill","Manhattan","Entire home/apt",135,30,2
"East Village","Manhattan","Entire home/apt",250,31,2
"Bushwick","Brooklyn","Private room",40,30,0
"Boerum Hill","Brooklyn","Entire home/apt",300,30,0
"Williamsburg","Brooklyn","Entire home/apt",200,31,8
"Crown Heights","Brooklyn","Private room",41,30,1
"Crown Heights","Brooklyn","Private room",36,1,44
"Bushwick","Brooklyn","Entire home/apt",115,28,1
"Hell's Kitchen","Manhattan","Private room",70,1,280
"Williamsburg","Brooklyn","Private room",163,2,5
"Flatbush","Brooklyn","Private room",31,30,1
"Williamsburg","Brooklyn","Shared room",75,30,5
"Bushwick","Brooklyn","Entire home/apt",229,1,48
"Upper West Side","Manhattan","Entire home/apt",215,30,1
"Upper West Side","Manhattan","Private room",89,30,4
"Park Slope","Brooklyn","Private room",36,2,52
"Forest Hills","Queens","Entire home/apt",150,2,243
"Hell's Kitchen","Manhattan","Entire home/apt",140,30,0
"Crown Heights","Brooklyn","Private room",45,30,4
"Hunts Point","Bronx","Entire home/apt",85,3,5
"Williamsburg","Brooklyn","Private room",90,2,0
"Hell's Kitchen","Manhattan","Private room",73,30,0
"Washington Heights","Manhattan","Private room",50,30,88
"Lower East Side","Manhattan","Entire home/apt",160,30,2
"Cypress Hills","Brooklyn","Entire home/apt",57,2,81
"Corona","Queens","Private room",100,1,3
"SoHo","Manhattan","Entire home/apt",150,30,36
"Bushwick","Brooklyn","Private room",52,1,34
"Williamsburg","Brooklyn","Private room",43,30,0
"Flatbush","Brooklyn","Private room",135,7,3
"Long Island City","Queens","Entire home/apt",200,7,4
"Midtown","Manhattan","Entire home/apt",200,30,3
"Clinton Hill","Brooklyn","Entire home/apt",145,31,105
"Wakefield","Bronx","Entire home/apt",110,28,0
"Kingsbridge","Bronx","Private room",55,30,4
"Park Slope","Brooklyn","Private room",30,30,0
"Theater District","Manhattan","Private room",56,30,0
"Theater District","Manhattan","Private room",299,1,0
"Greenwich Village","Manhattan","Entire home/apt",63,30,30
"Sunset Park","Brooklyn","Entire home/apt",171,2,166
"Bushwick","Brooklyn","Entire home/apt",140,7,135
"Williamsburg","Brooklyn","Entire home/apt",260,30,4
"Harlem","Manhattan","Entire home/apt",109,21,5
"Flushing","Queens","Private room",55,30,1
"Hell's Kitchen","Manhattan","Private room",156,1,244
"SoHo","Manhattan","Private room",120,30,39
"East Harlem","Manhattan","Private room",56,30,28
"Upper West Side","Manhattan","Private room",89,30,2
"Arverne","Queens","Entire home/apt",239,2,89
"Upper West Side","Manhattan","Entire home/apt",128,1,27
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",181,35,0
"Hell's Kitchen","Manhattan","Entire home/apt",339,1,4
"Crown Heights","Brooklyn","Entire home/apt",133,30,0
"Harlem","Manhattan","Entire home/apt",85,30,56
"Chinatown","Manhattan","Private room",100,30,0
"East Village","Manhattan","Entire home/apt",100,10,2
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",190,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",55,30,40
"Midtown","Manhattan","Private room",154,1,0
"Williamsburg","Brooklyn","Shared room",45,30,2
"Clason Point","Bronx","Private room",35,30,1
"Long Island City","Queens","Shared room",50,1,8
"Nolita","Manhattan","Entire home/apt",150,10,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",105,30,9
"Williamsburg","Brooklyn","Entire home/apt",161,91,11
"Park Slope","Brooklyn","Private room",105,3,212
"Prospect-Lefferts Gardens","Brooklyn","Private room",76,3,46
"Roosevelt Island","Manhattan","Private room",70,10,5
"Borough Park","Brooklyn","Entire home/apt",85,30,14
"Harlem","Manhattan","Entire home/apt",166,30,15
"Hell's Kitchen","Manhattan","Entire home/apt",450,2,3
"Hell's Kitchen","Manhattan","Entire home/apt",130,30,2
"Chelsea","Manhattan","Entire home/apt",100,30,5
"Chelsea","Manhattan","Private room",77,30,0
"Midtown","Manhattan","Private room",450,30,2
"Upper West Side","Manhattan","Shared room",25,30,0
"East New York","Brooklyn","Entire home/apt",60,30,1
"Midtown","Manhattan","Entire home/apt",170,1,6
"Harlem","Manhattan","Entire home/apt",164,30,56
